"wojewodztwo","liczba_przypadkow","liczba_na_10_tys_mieszkancow","zgony","zgony_w_wyniku_covid_bez_chorob_wspolistniejacych","zgony_w_wyniku_covid_i_chorob_wspolistniejacych","liczba_zlecen_poz","liczba_osob_objetych_kwarantanna","liczba_wykonanych_testow","liczba_testow_z_wynikiem_pozytywnym","liczba_testow_z_wynikiem_negatywnym","liczba_pozostalych_testow","teryt","stan_rekordu_na","name","Date","liczba_ozdrowiencow"
"mazowieckie",1069,1.97,50,15,35,1971,33493,9772,1216,8316,240,"t14",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,707
"opolskie",172,1.75,3,1,2,255,3975,1382,189,1162,31,"t16",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,69
"podkarpackie",235,1.11,13,2,11,330,4825,3436,281,3117,38,"t18",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,116
"podlaskie",333,2.83,26,1,25,459,5268,2391,350,2027,14,"t20",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,116
"pomorskie",729,3.11,32,3,29,1224,16125,4826,789,3898,139,"t22",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,604
"śląskie",818,1.81,37,3,34,1286,14743,7431,891,6453,87,"t24",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,397
"świętokrzyskie",131,1.07,12,1,11,225,2718,2566,170,2357,39,"t26",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,81
"warmińsko-mazurskie",626,4.41,19,2,17,819,10399,3464,673,2747,44,"t28",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,222
"wielkopolskie",1014,2.9,65,30,35,1504,18963,5829,1089,4632,108,"t30",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,457
"zachodniopomorskie",700,4.13,42,5,37,1040,12908,4066,795,3184,87,"t32",2021-01-12,"20210113054526_rap_rcb_woj_eksport.csv",2021-01-13,500
"Cały kraj",9436,2.46,381,92,289,12351,190307,79406,10239,67816,1351,"t00",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,8476
"dolnośląskie",463,1.6,16,7,9,730,12553,4922,518,4344,60,"t02",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,440
"kujawsko-pomorskie",993,4.8,44,9,35,1135,14944,4946,1055,3768,123,"t04",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,850
"lubelskie",403,1.92,38,10,28,577,7932,3749,441,3253,55,"t06",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,507
"lubuskie",288,2.85,8,5,3,345,5670,2065,319,1735,11,"t08",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,144
"łódzkie",554,2.26,35,8,27,727,12074,5533,601,4848,84,"t10",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,752
"małopolskie",337,0.99,12,3,9,546,9501,4429,358,3997,74,"t12",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,315
"mazowieckie",1231,2.27,41,9,32,1895,34737,12754,1363,11091,300,"t14",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,1087
"opolskie",235,2.4,3,1,2,252,4177,1738,252,1451,35,"t16",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,156
"podkarpackie",233,1.1,17,4,13,310,5040,3232,253,2944,35,"t18",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,219
"podlaskie",291,2.47,6,0,6,405,5395,2088,317,1745,26,"t20",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,186
"pomorskie",878,3.74,16,1,15,1095,16750,6242,943,5168,131,"t22",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,669
"śląskie",727,1.61,19,0,19,1075,14973,8079,784,7218,77,"t24",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,764
"świętokrzyskie",164,1.33,4,1,3,186,2786,2608,199,2331,78,"t26",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,125
"warmińsko-mazurskie",690,4.86,29,4,25,745,10657,4036,733,3250,53,"t28",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,640
"wielkopolskie",1058,3.02,65,29,36,1338,19651,6753,1134,5502,117,"t30",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,901
"zachodniopomorskie",788,4.65,28,1,27,985,13440,4356,849,3435,72,"t32",2021-01-13,"20210114054520_rap_rcb_woj_eksport.csv",2021-01-14,604
"Cały kraj",7795,2.03,386,88,298,11617,190259,73122,8751,63268,1103,"t00",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,13158
"dolnośląskie",477,1.65,19,9,10,667,12472,5290,523,4719,48,"t02",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,562
"kujawsko-pomorskie",712,3.44,24,2,22,1093,15006,4597,823,3698,76,"t04",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1237
"lubelskie",355,1.69,25,8,17,591,7920,3395,399,2932,64,"t06",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,676
"lubuskie",218,2.16,26,9,17,323,5691,1802,273,1513,16,"t08",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,315
"łódzkie",495,2.02,37,8,29,724,11883,4857,535,4261,61,"t10",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,814
"małopolskie",321,0.94,16,6,10,459,9112,4310,343,3908,59,"t12",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,518
"mazowieckie",946,1.74,56,21,35,1904,34638,11188,1072,9886,230,"t14",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1816
"opolskie",214,2.18,6,0,6,213,4345,1874,243,1592,39,"t16",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,204
"podkarpackie",232,1.09,17,1,16,282,5151,3332,272,3025,35,"t18",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,305
"podlaskie",277,2.35,7,1,6,331,5499,1836,291,1540,5,"t20",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,479
"pomorskie",740,3.15,17,0,17,1060,16921,5658,809,4738,111,"t22",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1113
"śląskie",601,1.33,42,3,39,1025,14763,7184,660,6444,80,"t24",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1272
"świętokrzyskie",127,1.03,9,1,8,177,2770,2047,154,1833,60,"t26",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,244
"warmińsko-mazurskie",420,2.96,21,2,19,667,10826,3073,451,2585,37,"t28",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1100
"wielkopolskie",768,2.19,38,15,23,1231,19794,5743,836,4835,72,"t30",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1372
"zachodniopomorskie",749,4.42,26,2,24,862,13442,4153,893,3178,82,"t32",2021-01-14,"20210115054523_rap_rcb_woj_eksport.csv",2021-01-15,1011
"Cały kraj",7412,1.93,369,69,300,11188,187925,69348,8468,59651,1229,"t00",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,11819
"dolnośląskie",378,1.3,9,3,6,674,12439,5196,419,4687,90,"t02",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,752
"kujawsko-pomorskie",653,3.16,33,4,29,1022,14731,4011,770,3175,66,"t04",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,1086
"lubelskie",358,1.7,27,3,24,512,7991,3301,409,2851,41,"t06",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,362
"lubuskie",178,1.76,24,16,8,315,5499,2114,247,1851,16,"t08",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,453
"łódzkie",416,1.7,34,5,29,666,11586,4388,452,3850,86,"t10",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,627
"małopolskie",293,0.86,14,5,9,498,8811,4255,316,3885,54,"t12",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,412
"mazowieckie",1040,1.92,43,7,36,1859,34781,11484,1217,9953,314,"t14",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,1532
"opolskie",222,2.26,3,0,3,212,4363,1506,241,1234,31,"t16",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,324
"podkarpackie",194,0.91,15,0,15,251,5245,2656,213,2418,25,"t18",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,284
"podlaskie",210,1.78,4,0,4,334,5437,1563,230,1326,7,"t20",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,312
"pomorskie",741,3.16,24,4,20,955,16905,5190,803,4217,170,"t22",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,1244
"śląskie",608,1.35,33,2,31,994,14297,7365,673,6611,81,"t24",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,797
"świętokrzyskie",120,0.98,2,0,2,193,2725,2398,149,2213,36,"t26",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,148
"warmińsko-mazurskie",547,3.85,28,5,23,669,10638,2970,576,2366,28,"t28",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,647
"wielkopolskie",696,1.99,45,15,30,1166,19207,5779,778,4911,90,"t30",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,1539
"zachodniopomorskie",629,3.71,31,0,31,865,13242,3184,818,2288,78,"t32",2021-01-15,"20210116083811_rap_rcb_woj_eksport.csv",2021-01-16,1221
"Cały kraj",6055,1.58,142,37,105,296,178093,55247,6820,47560,867,"t00",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,7705
"dolnośląskie",302,1.04,1,0,1,13,11942,3444,324,3079,41,"t02",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,331
"kujawsko-pomorskie",658,3.18,16,1,15,49,13378,3338,719,2548,71,"t04",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,919
"lubelskie",318,1.51,10,2,8,18,7531,2614,344,2217,53,"t06",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,431
"lubuskie",247,2.45,5,3,2,5,5107,1724,301,1408,15,"t08",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,197
"łódzkie",351,1.43,5,1,4,25,11040,2750,376,2328,46,"t10",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,551
"małopolskie",225,0.66,7,7,0,9,8758,2955,259,2656,40,"t12",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,314
"mazowieckie",816,1.5,13,3,10,36,33706,8852,907,7766,179,"t14",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,1060
"opolskie",99,1.01,1,0,1,5,4171,1515,113,1375,27,"t16",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,73
"podkarpackie",177,0.83,12,4,8,4,4953,2008,210,1780,18,"t18",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,178
"podlaskie",121,1.03,2,0,2,3,5019,776,136,636,4,"t20",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,242
"pomorskie",603,2.57,1,0,1,31,15889,4613,641,3879,93,"t22",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,746
"śląskie",408,0.91,6,1,5,34,13556,4991,454,4478,59,"t24",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,548
"świętokrzyskie",125,1.02,1,0,1,2,2545,1625,148,1442,35,"t26",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,106
"warmińsko-mazurskie",287,2.02,2,0,2,5,9956,1710,329,1354,27,"t28",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,541
"wielkopolskie",828,2.37,40,14,26,41,17873,5632,903,4664,65,"t30",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,748
"zachodniopomorskie",324,1.91,20,1,19,16,12649,2990,477,2451,62,"t32",2021-01-16,"20210117054524_rap_rcb_woj_eksport.csv",2021-01-17,623
"Cały kraj",3271,0.85,52,11,41,217,173976,25174,3676,21019,479,"t00",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,10769
"dolnośląskie",156,0.54,0,0,0,21,11609,1593,174,1389,30,"t02",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,570
"kujawsko-pomorskie",201,0.97,3,0,3,51,12893,1144,219,900,25,"t04",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,898
"lubelskie",86,0.41,9,6,3,24,7363,787,117,658,12,"t06",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,482
"lubuskie",99,0.98,0,0,0,9,5035,719,110,596,13,"t08",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,319
"łódzkie",98,0.4,2,0,2,6,10807,1097,123,949,25,"t10",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,720
"małopolskie",306,0.9,0,0,0,4,8796,1584,322,1219,43,"t12",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,416
"mazowieckie",475,0.88,11,0,11,26,33462,5514,532,4895,87,"t14",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,1403
"opolskie",125,1.27,0,0,0,5,4123,1014,136,867,11,"t16",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,250
"podkarpackie",83,0.39,4,2,2,2,5001,683,95,571,17,"t18",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,252
"podlaskie",69,0.59,0,0,0,2,4829,398,85,308,5,"t20",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,328
"pomorskie",468,1.99,1,0,1,23,15431,2845,508,2267,70,"t22",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,966
"śląskie",311,0.69,4,1,3,5,13161,2195,363,1789,43,"t24",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,865
"świętokrzyskie",73,0.59,0,0,0,1,2382,853,88,745,20,"t26",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,187
"warmińsko-mazurskie",108,0.76,0,0,0,6,9450,746,123,615,8,"t28",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,849
"wielkopolskie",224,0.64,17,2,15,25,17419,1488,250,1213,25,"t30",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,1240
"zachodniopomorskie",292,1.72,1,0,1,7,12197,1449,318,1100,31,"t32",2021-01-17,"20210118054526_rap_rcb_woj_eksport.csv",2021-01-18,919
"Cały kraj",4835,1.26,291,60,231,17080,185122,48409,5893,41802,714,"t00",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,9777
"dolnośląskie",311,1.07,10,8,2,1031,12522,4774,374,4332,68,"t02",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,542
"kujawsko-pomorskie",438,2.12,25,1,24,1492,13696,3264,543,2671,50,"t04",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,976
"lubelskie",266,1.26,38,12,26,844,7991,3036,310,2699,27,"t06",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,402
"lubuskie",85,0.84,9,6,3,522,5304,1303,162,1123,18,"t08",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,240
"łódzkie",275,1.12,28,4,24,957,11513,2923,325,2535,63,"t10",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,599
"małopolskie",234,0.69,19,8,11,731,9318,2482,263,2186,33,"t12",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,288
"mazowieckie",683,1.26,20,1,19,2462,35940,6417,870,5391,156,"t14",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,1352
"opolskie",95,0.97,10,2,8,327,4227,1036,106,925,5,"t16",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,244
"podkarpackie",188,0.88,4,0,4,444,5300,1976,249,1706,21,"t18",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,202
"podlaskie",126,1.07,3,0,3,613,5301,1246,149,1086,11,"t20",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,247
"pomorskie",411,1.75,22,4,18,1495,15971,2712,462,2191,59,"t22",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,1129
"śląskie",368,0.82,31,2,29,1621,14264,3949,440,3450,59,"t24",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,725
"świętokrzyskie",77,0.63,4,0,4,247,2601,1466,111,1349,6,"t26",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,162
"warmińsko-mazurskie",354,2.49,27,4,23,1111,10105,1920,382,1515,23,"t28",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,595
"wielkopolskie",413,1.18,27,8,19,1921,18489,3982,513,3429,40,"t30",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,1112
"zachodniopomorskie",392,2.32,14,0,14,1252,12560,2498,483,1959,56,"t32",2021-01-18,"20210119054524_rap_rcb_woj_eksport.csv",2021-01-19,853
"Cały kraj",6919,1.8,443,106,337,11207,188242,48317,7625,39862,830,"t00",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,4595
"dolnośląskie",336,1.16,25,13,12,740,13001,3448,388,3006,54,"t02",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,237
"kujawsko-pomorskie",534,2.58,36,10,26,991,13744,2777,576,2146,55,"t04",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,410
"lubelskie",357,1.7,32,3,29,556,8145,2222,396,1793,33,"t06",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,142
"lubuskie",201,1.99,19,15,4,288,5301,1279,223,1042,14,"t08",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,175
"łódzkie",393,1.6,41,7,34,725,11882,3219,435,2725,59,"t10",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,229
"małopolskie",280,0.82,18,5,13,503,9664,2831,302,2480,49,"t12",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,201
"mazowieckie",890,1.64,49,19,30,1771,36241,7027,1032,5819,176,"t14",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,688
"opolskie",138,1.41,4,0,4,218,4344,910,150,754,6,"t16",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,112
"podkarpackie",192,0.9,14,2,12,259,5669,2145,228,1889,28,"t18",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,116
"podlaskie",329,2.8,19,1,18,337,5245,1196,348,831,17,"t20",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,83
"pomorskie",582,2.48,44,3,41,1011,16211,3192,629,2474,89,"t22",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,552
"śląskie",649,1.44,35,1,34,1027,14745,5017,710,4239,68,"t24",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,298
"świętokrzyskie",125,1.02,13,0,13,162,2739,1515,142,1335,38,"t26",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,81
"warmińsko-mazurskie",549,3.86,23,3,20,650,10089,2087,571,1492,24,"t28",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,233
"wielkopolskie",683,1.95,50,24,26,1180,18815,4366,747,3563,56,"t30",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,439
"zachodniopomorskie",550,3.25,21,0,21,781,12387,2648,589,2015,44,"t32",2021-01-19,"20210120054532_rap_rcb_woj_eksport.csv",2021-01-20,547
"Cały kraj",7152,1.86,419,81,338,10947,190953,47141,7918,38419,804,"t00",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,6423
"dolnośląskie",567,1.96,11,10,1,672,13251,3701,631,2998,72,"t02",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,321
"kujawsko-pomorskie",729,3.52,44,4,40,922,13724,3110,790,2277,43,"t04",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,586
"lubelskie",323,1.54,24,4,20,545,8274,2125,365,1727,33,"t06",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,392
"lubuskie",217,2.15,23,8,15,355,5384,1198,234,948,16,"t08",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,169
"łódzkie",410,1.67,44,4,40,669,12036,3502,474,2950,78,"t10",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,452
"małopolskie",315,0.92,13,8,5,530,9588,2696,343,2311,42,"t12",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,258
"mazowieckie",874,1.61,63,7,56,1760,36493,6362,986,5231,145,"t14",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,851
"opolskie",143,1.46,7,0,7,181,4463,1219,174,1022,23,"t16",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,145
"podkarpackie",216,1.02,15,0,15,281,5725,1815,238,1569,8,"t18",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,136
"podlaskie",226,1.92,3,0,3,346,5427,981,242,729,10,"t20",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,155
"pomorskie",740,3.15,31,5,26,934,16756,3346,785,2493,68,"t22",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,626
"śląskie",489,1.08,27,2,25,973,14718,4528,577,3899,52,"t24",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,508
"świętokrzyskie",147,1.2,26,3,23,175,2869,1245,174,1037,34,"t26",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,121
"warmińsko-mazurskie",415,2.92,26,8,18,690,10471,1905,443,1443,19,"t28",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,568
"wielkopolskie",740,2.11,36,17,19,1126,19211,3858,790,3014,54,"t30",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,604
"zachodniopomorskie",469,2.77,26,1,25,780,12538,2546,522,1940,84,"t32",2021-01-20,"20210121054525_rap_rcb_woj_eksport.csv",2021-01-21,464
"Cały kraj",6640,1.73,346,76,270,10811,188758,45108,7386,36950,772,"t00",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,8974
"dolnośląskie",366,1.26,17,10,7,676,12906,3902,410,3439,53,"t02",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,471
"kujawsko-pomorskie",613,2.96,22,1,21,981,13591,2820,669,2104,47,"t04",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,826
"lubelskie",311,1.48,22,1,21,512,8113,1874,349,1491,34,"t06",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,492
"lubuskie",208,2.06,6,5,1,302,5425,1346,232,1103,11,"t08",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,230
"łódzkie",351,1.43,23,3,20,692,11698,2668,404,2206,58,"t10",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,537
"małopolskie",270,0.79,10,8,2,518,9641,2460,291,2131,38,"t12",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,384
"mazowieckie",856,1.58,64,21,43,1719,35882,6234,975,5081,178,"t14",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,1117
"opolskie",113,1.15,6,1,5,208,4461,931,128,789,14,"t16",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,185
"podkarpackie",175,0.82,20,4,16,277,5706,1705,200,1492,13,"t18",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,239
"podlaskie",229,1.95,10,0,10,365,5501,1181,249,916,16,"t20",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,297
"pomorskie",770,3.28,22,5,17,1003,16805,3874,848,2944,82,"t22",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,811
"śląskie",488,1.08,33,0,33,955,14332,4160,532,3581,47,"t24",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,806
"świętokrzyskie",125,1.02,8,1,7,153,2828,1263,149,1089,25,"t26",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,131
"warmińsko-mazurskie",476,3.35,27,6,21,642,10184,1942,500,1412,30,"t28",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,619
"wielkopolskie",672,1.92,37,10,27,1053,19181,3839,767,3021,51,"t30",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,1009
"zachodniopomorskie",504,2.98,19,0,19,752,12485,2436,555,1829,52,"t32",2021-01-21,"20210122054526_rap_rcb_woj_eksport.csv",2021-01-22,746
"Cały kraj",6322,1.65,346,82,264,10670,184639,44490,7029,36723,738,"t00",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,10089
"dolnośląskie",414,1.43,15,9,6,650,12699,3675,463,3123,89,"t02",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,530
"kujawsko-pomorskie",644,3.11,28,4,24,927,13102,3017,732,2240,45,"t04",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,1077
"lubelskie",378,1.8,16,2,14,552,7864,2132,418,1677,37,"t06",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,429
"lubuskie",166,1.64,8,7,1,324,5320,998,186,799,13,"t08",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,320
"łódzkie",348,1.42,26,4,22,665,11390,2956,384,2530,42,"t10",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,651
"małopolskie",250,0.73,23,8,15,499,9258,2689,274,2381,34,"t12",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,360
"mazowieckie",936,1.72,43,10,33,1731,36183,6715,1044,5524,147,"t14",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,1252
"opolskie",95,0.97,6,2,4,199,4264,1007,110,891,6,"t16",2021-01-22,"20210123054528_rap_rcb_woj_eksport.csv",2021-01-23,231
